,gene,pvalue,effet
3715,ECH3937_v6b_ABF-0020199,1.45083944858015e-12,Activation
2521,ECH3937_v6b_ABF-0018407,1.45838896514761e-12,Activation
3147,ECH3937_v6b_ABF-0019347,1.46593848171506e-12,Activation
248,ECH3937_v6b_ABF-0014942,1.47881706880071e-12,Repression
2109,ECH3937_v6b_ABF-0017803,1.49080747746666e-12,Activation
902,ECH3937_v6b_ABF-0015989,1.49702472640456e-12,Activation
3038,ECH3937_v6b_ABF-0019178,1.50723877823111e-12,Activation
3933,ECH3937_v6b_ABF-0020518,1.56052948341312e-12,Activation
4204,ECH3937_v6b_ABF-0046538,1.5611956172279e-12,Activation
4083,ECH3937_v6b_ABF-0020727,1.56186175104267e-12,Activation
2362,ECH3937_v6b_ABF-0018165,1.56319401867222e-12,Activation
911,ECH3937_v6b_ABF-0016000,1.5665246877461e-12,Activation
644,ECH3937_v6b_ABF-0015630,1.56719082156087e-12,Activation
4359,ECH3937_v6b_ABF-0046899,1.66933133982639e-12,Activation
4444,ECH3937_v6b_ABF-0047050,1.67643676718399e-12,Activation
913,ECH3937_v6b_ABF-0016002,1.68176583770219e-12,Activation
3135,ECH3937_v6b_ABF-0019325,1.68665081901054e-12,Activation
2361,ECH3937_v6b_ABF-0018164,1.68842717584994e-12,Activation
4402,ECH3937_v6b_ABF-0046979,1.72972747236599e-12,Activation
1191,ECH3937_v6b_ABF-0016426,1.7457146839206e-12,Activation
229,ECH3937_v6b_ABF-0014916,1.7466028623403e-12,Activation
3727,ECH3937_v6b_ABF-0020217,1.75859327100625e-12,Activation
2082,ECH3937_v6b_ABF-0017769,1.7883472480662e-12,Activation
2801,ECH3937_v6b_ABF-0018813,1.85851334322251e-12,Activation
2108,ECH3937_v6b_ABF-0017802,1.86961557346876e-12,Activation
2694,ECH3937_v6b_ABF-0018655,1.87894144687561e-12,Activation
1438,ECH3937_v6b_ABF-0016807,1.88471460660367e-12,Activation
4468,ECH3937_v6b_ABF-0047091,1.92956761679852e-12,Activation
1992,ECH3937_v6b_ABF-0017631,1.99618099827603e-12,Activation
2560,ECH3937_v6b_ABF-0018459,2.01216820983063e-12,Activation
3579,ECH3937_v6b_ABF-0020000,2.02926564440986e-12,Activation
743,ECH3937_v6b_ABF-0015765,2.03215222427389e-12,Activation
1631,ECH3937_v6b_ABF-0017107,2.03570493795269e-12,Activation
1172,ECH3937_v6b_ABF-0016402,2.03614902716254e-12,Activation
1737,ECH3937_v6b_ABF-0017252,2.03792538400194e-12,Activation
3000,ECH3937_v6b_ABF-0019122,2.07567296683919e-12,Activation
1051,ECH3937_v6b_ABF-0016213,2.14339657134133e-12,Activation
657,ECH3937_v6b_ABF-0015644,2.15161222172355e-12,Activation
1030,ECH3937_v6b_ABF-0016184,2.1520563109334e-12,Activation
4133,ECH3937_v6b_ABF-0020798,2.18447482325246e-12,Activation
3749,ECH3937_v6b_ABF-0020247,2.21378471110256e-12,Activation
2946,ECH3937_v6b_ABF-0019035,2.22089013846016e-12,Activation
2176,ECH3937_v6b_ABF-0017898,2.25108820472997e-12,Activation
3254,ECH3937_v6b_ABF-0019494,2.25974794432204e-12,Activation
3577,ECH3937_v6b_ABF-0019998,2.28705943072782e-12,Activation
822,ECH3937_v6b_ABF-0015880,2.30571117754153e-12,Activation
4307,ECH3937_v6b_ABF-0046768,2.32036612146658e-12,Activation
1820,ECH3937_v6b_ABF-0017375,2.34878783089698e-12,Activation
3835,ECH3937_v6b_ABF-0020379,2.35456099062503e-12,Activation
1331,ECH3937_v6b_ABF-0016652,2.37410091585843e-12,Activation
2957,ECH3937_v6b_ABF-0019058,2.37410091585843e-12,Repression
3238,ECH3937_v6b_ABF-0019471,2.37676545111754e-12,Activation
1300,ECH3937_v6b_ABF-0016606,2.39031017201796e-12,Activation
797,ECH3937_v6b_ABF-0015847,2.39763764398049e-12,Activation
4382,ECH3937_v6b_ABF-0046942,2.39941400081989e-12,Activation
2674,ECH3937_v6b_ABF-0018630,2.39985809002974e-12,Activation
1970,ECH3937_v6b_ABF-0017601,2.42428299657149e-12,Activation
2172,ECH3937_v6b_ABF-0017890,2.44781972469355e-12,Activation
4440,ECH3937_v6b_ABF-0047046,2.46824782834665e-12,Activation
2634,ECH3937_v6b_ABF-0018561,2.4811264154323e-12,Activation
3376,ECH3937_v6b_ABF-0019685,2.50000020685093e-12,Activation
