,gene,pvalue,effet
2403,ECH3937_v6b_ABF-0018230,7.43849426498855e-11,Repression
2325,ECH3937_v6b_ABF-0018105,7.4937389626939e-11,Repression
1102,ECH3937_v6b_ABF-0016286,7.76045894212984e-11,Repression
247,ECH3937_v6b_ABF-0014941,8.04361022233024e-11,Repression
1874,ECH3937_v6b_ABF-0017464,8.20745693630442e-11,Repression
3305,ECH3937_v6b_ABF-0019567,8.4409368383831e-11,Repression
1069,ECH3937_v6b_ABF-0016236,8.49147419046403e-11,Repression
39,ECH3937_v6b_ABF-0014556,8.95683527346591e-11,Repression
3663,ECH3937_v6b_ABF-0020123,9.34032851063193e-11,Repression
1597,ECH3937_v6b_ABF-0017052,9.84357040323403e-11,Repression
47,ECH3937_v6b_ABF-0014568,9.8646868451624e-11,Repression
947,ECH3937_v6b_ABF-0016048,1.00149222248547e-10,Repression
251,ECH3937_v6b_ABF-0014946,1.02843511484707e-10,Repression
1877,ECH3937_v6b_ABF-0017468,1.06436415236999e-10,Repression
2355,ECH3937_v6b_ABF-0018156,1.06924691323229e-10,Repression
561,ECH3937_v6b_ABF-0015512,1.06965991619745e-10,Repression
3483,ECH3937_v6b_ABF-0019862,1.07557074358056e-10,Repression
1878,ECH3937_v6b_ABF-0017469,1.08157038880563e-10,Repression
950,ECH3937_v6b_ABF-0016052,1.08546505117602e-10,Repression
1163,ECH3937_v6b_ABF-0016385,1.09554587623961e-10,Repression
3484,ECH3937_v6b_ABF-0019863,1.12131193219511e-10,Repression
2127,ECH3937_v6b_ABF-0017828,1.14042997267916e-10,Repression
284,ECH3937_v6b_ABF-0014994,1.18757670364289e-10,Repression
1742,ECH3937_v6b_ABF-0017258,1.19666276887642e-10,Repression
2884,ECH3937_v6b_ABF-0018943,1.21776810857455e-10,Repression
2807,ECH3937_v6b_ABF-0018822,1.25748300661144e-10,Repression
3318,ECH3937_v6b_ABF-0019583,1.27897248347608e-10,Activation
1271,ECH3937_v6b_ABF-0016558,1.29617205857357e-10,Repression
3431,ECH3937_v6b_ABF-0019779,1.30299326883687e-10,Repression
698,ECH3937_v6b_ABF-0015695,1.30489397065503e-10,Repression
3348,ECH3937_v6b_ABF-0019636,1.31016530957595e-10,Repression
3419,ECH3937_v6b_ABF-0019758,1.31951782833539e-10,Repression
3860,ECH3937_v6b_ABF-0020416,1.33020039427834e-10,Repression
3628,ECH3937_v6b_ABF-0020070,1.3313528057779e-10,Repression
4107,ECH3937_v6b_ABF-0020768,1.33967059667839e-10,Repression
3405,ECH3937_v6b_ABF-0019733,1.37379885245537e-10,Repression
1086,ECH3937_v6b_ABF-0016266,1.39652289732339e-10,Repression
566,ECH3937_v6b_ABF-0015517,1.4056711350463e-10,Activation
1698,ECH3937_v6b_ABF-0017202,1.4315948426713e-10,Repression
567,ECH3937_v6b_ABF-0015519,1.45667033990549e-10,Activation
1932,ECH3937_v6b_ABF-0017546,1.46993084371161e-10,Repression
1421,ECH3937_v6b_ABF-0016783,1.52026391475601e-10,Repression
2838,ECH3937_v6b_ABF-0018864,1.52512447115782e-10,Repression
3850,ECH3937_v6b_ABF-0020402,1.53667301105997e-10,Repression
1780,ECH3937_v6b_ABF-0017312,1.55383261812858e-10,Repression
1677,ECH3937_v6b_ABF-0017172,1.6147883030726e-10,Activation
2837,ECH3937_v6b_ABF-0018863,1.63179247891776e-10,Repression
2491,ECH3937_v6b_ABF-0018360,1.68744573869617e-10,Repression
2210,ECH3937_v6b_ABF-0017950,1.69023683938008e-10,Repression
2909,ECH3937_v6b_ABF-0018979,1.72358571859377e-10,Repression
2484,ECH3937_v6b_ABF-0018349,1.74475545122732e-10,Repression
413,ECH3937_v6b_ABF-0015182,1.78669967709766e-10,Repression
1108,ECH3937_v6b_ABF-0016294,1.807904936868e-10,Repression
3504,ECH3937_v6b_ABF-0019897,1.85130133445455e-10,Repression
1953,ECH3937_v6b_ABF-0017574,1.92005522592353e-10,Repression
2401,ECH3937_v6b_ABF-0018228,1.92913462981892e-10,Repression
3544,ECH3937_v6b_ABF-0019952,2.04390726565862e-10,Repression
3273,ECH3937_v6b_ABF-0019521,2.06585193396336e-10,Repression
3282,ECH3937_v6b_ABF-0019535,2.21582530102182e-10,Repression
2676,ECH3937_v6b_ABF-0018634,2.28096652676868e-10,Repression
350,ECH3937_v6b_ABF-0015081,2.3395418935479e-10,Repression
408,ECH3937_v6b_ABF-0015177,2.37025954419323e-10,Repression
3655,ECH3937_v6b_ABF-0020111,2.38292940935025e-10,Repression
2116,ECH3937_v6b_ABF-0017813,2.40400588324974e-10,Repression
1055,ECH3937_v6b_ABF-0016219,2.43971953750588e-10,Activation
3908,ECH3937_v6b_ABF-0020482,2.49145148956131e-10,Repression
3709,ECH3937_v6b_ABF-0020192,2.50529819112444e-10,Repression
36,ECH3937_v6b_ABF-0014551,2.58230326011244e-10,Repression
1521,ECH3937_v6b_ABF-0016934,2.58288057608524e-10,Repression
1064,ECH3937_v6b_ABF-0016229,2.7136337621414e-10,Repression
691,ECH3937_v6b_ABF-0015687,2.7319790874003e-10,Activation
4041,ECH3937_v6b_ABF-0020669,2.77174727614238e-10,Repression
